aircraft_id,tail_number,model,manufacturer,engine_model,first_service_dt,status,cycles_total,hours_total
A00001,EC-001AB,A320-200,Airbus,,2017-07-08,active,39140,62624
A00002,EC-002AB,A350-900,Airbus,Trent XWB,2012-08-05,maintenance,13541,81246
A00003,EC-003AB,B737-800,Boeing,CFM56-7B,2019-07-17,active,11105,
A00004,EC-004AB,B787-9,Boeing,GEnx-1B,2011-01-14,active,20861,-1
A00005,EC-005AB,E190,Embraer,   ,2020-10-06,active,13494,17542
A00006,EC-006AB,A320-200,Airbus,CFM56-5B,2020-11-26,active,35554,56886
A00007,EC-007AB,A350-900,Airbus,Trent XWB,2022-09-19,active,10240,61440
A00008,EC-008AB,B737-800,Boeing,CFM56-7B,2019-02-04,active,23963,47926
A00009,EC-009AB,B787-9,Boeing,GEnx-1B,2018-02-13,active,10842,59631
A00010,EC-010AB,E190,Embraer,CF34-10E,2017-07-03,active,15147,19691
A00011,EC-011AB,A320-200,Airbus,CFM56-5B,2016-09-06,active,10578,16924
A00012,EC-012AB,A350-900,Airbus,Trent XWB,2009-07-03,active,11286,67716
A00013,EC-013AB,B737-800,Boeing,CFM56-7B,2015-05-27,active,8108,16216
A00014,EC-014AB,B787-9,Boeing,GEnx-1B,2011-03-23,active,9042,49731
A00015,EC-015AB,E190,Embraer,CF34-10E,2009-04-01,active,11022,14328
A00016,EC-016AB,A320-200,Airbus,CFM56-5B,2011-08-11,active,8250,13200
A00017,EC-017AB,A350-900,Airbus,Trent XWB,2020-03-10,active,21569,129414
A00018,EC-018AB,B737-800,Boeing,CFM56-7B,2016-01-20,active,30784,61568
A00019,EC-019AB,B787-9,Boeing,GEnx-1B,2008-02-09,maintenance,14828,81554
A00020,EC-020AB,E190,Embraer,CF34-10E,2014-01-18,active,27019,35124
A00021,EC-021AB,A320-200,Airbus,CFM56-5B,2019-12-27,active,26832,42931
A00022,EC-022AB,A350-900,Airbus,Trent XWB,2013-09-27,active,12641,75846
A00023,EC-023AB,B737-800,Boeing,CFM56-7B,2014-03-20,active,10627,21254
A00024,EC-024AB,B787-9,Boeing,GEnx-1B,2009-01-07,maintenance,24825,136537
A00024,EC-099ZZ,B787-9,Boeing,GEnx-1B,2009-01-07,maintenance,24825,136537
