reading_id,sensor_type,unit,quality_flag,source_system,calibration_version,reading_ts
VR100000,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:00:00
VR100001,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:02:00
VR100002,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:04:00
VR100003,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:06:00
VR100004,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:08:00
VR100005,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:10:00
VR100006,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:12:00
VR100007,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:14:00
VR100008,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,RECORDER_TEST,v1.1,2025-02-01 10:16:00
VR100009,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:18:00
VR100010,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS_LEGACY,v1.2,2025-02-01 10:20:00
VR100011,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:22:00
VR100012,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:24:00
VR100013,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:26:00
VR100014,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:28:00
VR100015,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:30:00
VR100016,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:32:00
VR100017,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:34:00
VR100018,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:36:00
VR100019,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:38:00
VR100020,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:40:00
VR100021,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:42:00
VR100022,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:44:00
VR100023,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:46:00
VR100024,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 10:48:00
VR100025,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:50:00
VR100026,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:52:00
VR100027,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:54:00
VR100028,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 10:56:00
VR100029,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 10:58:00
VR100030,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:00:00
VR100031,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:02:00
VR100032,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:04:00
VR100033,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:06:00
VR100034,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:08:00
VR100035,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:10:00
VR100036,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:12:00
VR100037,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:14:00
VR100038,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:16:00
VR100039,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:18:00
VR100040,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,RECORDER_TEST,v1.1,2025-02-01 11:20:00
VR100041,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:22:00
VR100042,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:24:00
VR100043,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:26:00
VR100044,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:28:00
VR100045,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.2,2025-02-01 11:30:00
VR100046,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.1,2025-02-01 11:32:00
VR100047,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:34:00
VR100048,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:36:00
VR100049,ENGINE_PACK,ft|kts|C|%|kg/h|ips,OK,ACMS,v1.0,2025-02-01 11:38:00
