reading_id,aircraft_id,event_ts,event_date,engine_pos,phase_of_flight,altitude_ft,ias_kts,egt_c,n1_pct,fuel_flow_kg_h,vib_ips
VR100000,A00014,2025-02-01T10:00:00Z,2025-02-01 10:00:00,2,APPROACH,1572,175,716.0,70.4,2393.1,0.694
VR100001,A00009,2025-02-01T10:02:00Z,2025-02-01 10:02:00,1,CLIMB,2624,301,754.2,40.9,3408.6,2.427
VR100002,A00018,2025-02-01T10:04:00Z,2025-02-01 10:04:00,2,DESCENT,15433,307,702.1,73.0,4151.2,0.643
VR100003,A00011,2025-02-01T10:06:00Z,2025-02-01 10:06:00,1,TAXI,59,10,694.6,28.1,1877.3,0.738
VR100004,A00002,2025-02-01T10:08:00Z,2025-02-01 10:08:00,2,CRUISE,62324,284,879.7,99.0,614.2,0.181
VR100005,A00008,2025-02-01T10:10:00Z,2025-02-01 10:10:00,2,TAKEOFF,809,160,668.0,41.3,1368.1,1.141
VR100006,A00001,2025-02-01T10:12:00Z,2025-02-01 10:12:00,2,LANDING,348,138,503.5,73.9,3934.5,2.345
VR100007,A00011,2025-02-01T10:14:00Z,2025-02-01 10:14:00,1,LANDING,280,138,449.8,25.3,3989.9,1.905
VR100008,A00008,2025-02-01T10:16:00Z,2025-02-01 10:16:00,2,CRUISE,341640,281,663.9,66.9,4883.6,1.862
VR100009,A00008,2025-02-01T10:18:00Z,2025-02-01 10:18:00,1,APPROACH,511,139,684.3,56.9,2523.2,1.16
VR100010,A00022,2025-02-01T10:20:00Z,2025-02-01 10:20:00,2,DESCENT,13739,643,853.4,80.2,1525.0,1.781
VR100011,A00010,2025-02-01T10:22:00Z,2025-02-01 10:22:00,1,APPROACH,873,147,888.2,24.9,2368.5,0.33
VR100012,A00022,2025-02-01T10:24:00Z,2025-02-01 10:24:00,1,CLIMB,18694,312,929.0,39.0,3074.1,1.024
VR100013,A00009,2025-02-01T10:26:00Z,2025-02-01 10:26:00,1,CLIMB,15005,257,900.8,34.4,577.6,0.989
VR100014,A00022,2025-02-01T10:28:00Z,2025-02-01 10:28:00,1,PARKED,20,0,696.8,40.1,2240.8,0.169
VR100015,A00023,2025-02-01T10:30:00Z,2025-02-01 10:30:00,1,TAXI,7,16,592.0,24.3,3602.0,1.863
VR100016,A00004,2025-02-01T10:32:00Z,2025-02-01 10:32:00,1,CLIMB,4034,310,596.5,85.5,4770.9,1.972
VR100017,A00014,2025-02-01T10:34:00Z,2025-02-01 10:34:00,1,TAKEOFF,1028,144,856.0,23.2,3987.7,1.807
VR100018,A00007,2025-02-01T10:36:00Z,2025-02-01 10:36:00,2,CRUISE,39640,288,379.6,51.6,4550.4,1.566
VR100019,A00022,2025-02-01T10:38:00Z,2025-02-01 10:38:00,2,CRUISE,35015,282,734.9,83.0,1300.6,1.654
VR100020,A00023,2025-02-01T10:40:00Z,2025-02-01 10:40:00,1,PARKED,0,0,371.8,40.4,977.5,1.219
VR100021,A00021,2025-02-01T10:42:00Z,2025-02-01 10:42:00,2,DESCENT,15467,269,638.3,26.1,1707.7,2.376
VR100022,A00014,2025-02-01T10:44:00Z,2025-02-01 10:44:00,2,TAKEOFF,1034,158,635.3,30.1,514.5,1.817
VR100023,A00009,2025-02-01T10:46:00Z,2025-02-01 10:46:00,2,CLIMB,3494,260,874.5,69.8,2683.6,0.942
VR100024,A00001,2025-02-01T10:48:00Z,2025-02-01 10:48:00,2,CLIMB,9058,287,845.6,49.0,1301.9,1.234
VR100025,A00014,2025-02-01T10:50:00Z,2025-02-01 10:50:00,1,DESCENT,23624,269,705.9,47.8,3737.2,0.919
VR100026,A00002,2025-02-01T10:52:00Z,2025-02-01 10:52:00,2,PARKED,35,0,911.4,98.1,2677.6,0.641
VR100027,A00002,2025-02-01T10:54:00Z,2025-02-01 10:54:00,1,APPROACH,1342,163,590.0,44.2,1407.0,0.496
VR100028,A00003,2025-02-01T10:56:00Z,2025-02-01 10:56:00,2,PARKED,60,0,703.7,91.7,3335.8,2.239
VR100029,A00009,2025-02-01T10:58:00Z,2025-02-01 10:58:00,2,APPROACH,2394,138,313.8,63.6,916.4,1.186
VR100030,A00006,2025-02-01T11:00:00Z,2025-02-01 11:00:00,2,TAKEOFF,31,142,378.1,94.2,4911.7,0.907
VR100031,A00002,2025-02-01T11:02:00Z,2025-02-01 11:02:00,2,TAKEOFF,635,144,737.6,78.7,4365.4,2.473
VR100032,A00019,2025-02-01T11:04:00Z,2025-02-01 11:04:00,2,PARKED,58,0,506.6,41.0,3420.5,2.413
VR100033,A00005,2025-02-01T11:06:00Z,2025-02-01 11:06:00,2,CRUISE,30952,288,884.2,92.3,2363.7,0.955
VR100034,A00005,2025-02-01T11:08:00Z,2025-02-01 11:08:00,2,CRUISE,30453,293,451.9,47.1,4532.5,0.387
VR100035,A00013,2025-02-01T11:10:00Z,2025-02-01 11:10:00,1,CRUISE,33265,714,943.0,70.4,1833.6,0.912
VR100036,A00016,2025-02-01T11:12:00Z,2025-02-01 11:12:00,2,APPROACH,2056,179,681.9,50.5,4918.9,1.481
VR100037,A00013,2025-02-01T11:14:00Z,2025-02-01 11:14:00,1,LANDING,481,126,592.4,80.7,4005.7,1.876
VR100038,A00018,2025-02-01T11:16:00Z,2025-02-01 11:16:00,2,DESCENT,18235,269,409.5,95.6,985.6,0.355
VR100039,A00002,2025-02-01T11:18:00Z,2025-02-01 11:18:00,1,TAKEOFF,658,153,936.0,27.6,1421.8,1.915
